"Altersklasse","Anzahl Fälle","Meta","Type","Content"
"0 - 9 Jahre","2",NA,NA,NA
"10 - 19 Jahre","2",NA,NA,NA
"20 - 29 Jahre","8",NA,NA,NA
"30 - 39 Jahre","4",NA,NA,NA
"40 - 49 Jahre","5",NA,NA,NA
"50 - 59 Jahre","21",NA,NA,NA
"60 - 69 Jahre","23",NA,NA,NA
"70 - 79 Jahre","29",NA,NA,NA
"80+ Jahre","39",NA,NA,NA
"Unbekannt","0",NA,NA,NA
NA,NA,"1","datatypes","string,integer"
NA,NA,"1","title","Hospitalisierungen aufgrund von COVID-19 nach Alterskategorien im Total"
NA,NA,"1","subtitle","Datenstand: 08.03.2021"
NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Hospitalisierungen werden beim BAG mit zeitlicher Verzögerung registriert, diese Zahlen umfassen noch nicht alle im Kanton registrierten Fälle."
NA,NA,"1","source","Bundesamt für Gesundheit"
