"Woche","Geschlecht","Anzahl Fälle","Meta","Type","Content"
2020-03-23,"männlich","1",NA,NA,NA
2020-03-23,"weiblich","0",NA,NA,NA
2020-03-30,"männlich","2",NA,NA,NA
2020-03-30,"weiblich","0",NA,NA,NA
2020-04-06,"männlich","0",NA,NA,NA
2020-04-06,"weiblich","2",NA,NA,NA
2020-04-13,"männlich","0",NA,NA,NA
2020-04-13,"weiblich","2",NA,NA,NA
2020-04-20,"männlich","1",NA,NA,NA
2020-04-20,"weiblich","0",NA,NA,NA
2020-04-27,"männlich","0",NA,NA,NA
2020-04-27,"weiblich","0",NA,NA,NA
2020-05-04,"männlich","0",NA,NA,NA
2020-05-04,"weiblich","0",NA,NA,NA
2020-05-11,"männlich","0",NA,NA,NA
2020-05-11,"weiblich","0",NA,NA,NA
2020-05-18,"männlich","1",NA,NA,NA
2020-05-18,"weiblich","0",NA,NA,NA
2020-05-25,"männlich","0",NA,NA,NA
2020-05-25,"weiblich","0",NA,NA,NA
2020-06-01,"männlich","0",NA,NA,NA
2020-06-01,"weiblich","0",NA,NA,NA
2020-06-08,"männlich","0",NA,NA,NA
2020-06-08,"weiblich","0",NA,NA,NA
2020-06-15,"männlich","0",NA,NA,NA
2020-06-15,"weiblich","0",NA,NA,NA
2020-06-22,"männlich","0",NA,NA,NA
2020-06-22,"weiblich","0",NA,NA,NA
2020-06-29,"männlich","0",NA,NA,NA
2020-06-29,"weiblich","0",NA,NA,NA
2020-07-06,"männlich","0",NA,NA,NA
2020-07-06,"weiblich","0",NA,NA,NA
2020-07-13,"männlich","0",NA,NA,NA
2020-07-13,"weiblich","0",NA,NA,NA
2020-07-20,"männlich","0",NA,NA,NA
2020-07-20,"weiblich","0",NA,NA,NA
2020-07-27,"männlich","0",NA,NA,NA
2020-07-27,"weiblich","0",NA,NA,NA
2020-08-03,"männlich","0",NA,NA,NA
2020-08-03,"weiblich","0",NA,NA,NA
2020-08-10,"männlich","0",NA,NA,NA
2020-08-10,"weiblich","0",NA,NA,NA
2020-08-17,"männlich","0",NA,NA,NA
2020-08-17,"weiblich","0",NA,NA,NA
2020-08-24,"männlich","0",NA,NA,NA
2020-08-24,"weiblich","0",NA,NA,NA
2020-08-31,"männlich","0",NA,NA,NA
2020-08-31,"weiblich","0",NA,NA,NA
2020-09-07,"männlich","0",NA,NA,NA
2020-09-07,"weiblich","0",NA,NA,NA
2020-09-14,"männlich","0",NA,NA,NA
2020-09-14,"weiblich","0",NA,NA,NA
2020-09-21,"männlich","0",NA,NA,NA
2020-09-21,"weiblich","0",NA,NA,NA
2020-09-28,"männlich","0",NA,NA,NA
2020-09-28,"weiblich","0",NA,NA,NA
2020-10-05,"männlich","0",NA,NA,NA
2020-10-05,"weiblich","0",NA,NA,NA
2020-10-12,"männlich","0",NA,NA,NA
2020-10-12,"weiblich","1",NA,NA,NA
2020-10-19,"männlich","0",NA,NA,NA
2020-10-19,"weiblich","0",NA,NA,NA
2020-10-26,"männlich","1",NA,NA,NA
2020-10-26,"weiblich","1",NA,NA,NA
2020-11-02,"männlich","0",NA,NA,NA
2020-11-02,"weiblich","2",NA,NA,NA
2020-11-09,"männlich","3",NA,NA,NA
2020-11-09,"weiblich","4",NA,NA,NA
2020-11-16,"männlich","3",NA,NA,NA
2020-11-16,"weiblich","3",NA,NA,NA
2020-11-23,"männlich","2",NA,NA,NA
2020-11-23,"weiblich","3",NA,NA,NA
2020-11-30,"männlich","5",NA,NA,NA
2020-11-30,"weiblich","3",NA,NA,NA
2020-12-07,"männlich","6",NA,NA,NA
2020-12-07,"weiblich","6",NA,NA,NA
2020-12-14,"männlich","3",NA,NA,NA
2020-12-14,"weiblich","4",NA,NA,NA
2020-12-21,"männlich","4",NA,NA,NA
2020-12-21,"weiblich","2",NA,NA,NA
2020-12-28,"männlich","7",NA,NA,NA
2020-12-28,"weiblich","2",NA,NA,NA
2021-01-04,"männlich","4",NA,NA,NA
2021-01-04,"weiblich","5",NA,NA,NA
2021-01-11,"männlich","7",NA,NA,NA
2021-01-11,"weiblich","9",NA,NA,NA
2021-01-18,"männlich","3",NA,NA,NA
2021-01-18,"weiblich","5",NA,NA,NA
2021-01-25,"männlich","0",NA,NA,NA
2021-01-25,"weiblich","1",NA,NA,NA
2021-02-01,"männlich","1",NA,NA,NA
2021-02-01,"weiblich","3",NA,NA,NA
2021-02-08,"männlich","0",NA,NA,NA
2021-02-08,"weiblich","0",NA,NA,NA
2021-02-15,"männlich","0",NA,NA,NA
2021-02-15,"weiblich","0",NA,NA,NA
2021-02-22,"männlich","0",NA,NA,NA
2021-02-22,"weiblich","1",NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,integer"
NA,NA,NA,"1","title","Todesfälle aufgrund von COVID-19 nach Geschlecht im Zeitverlauf"
NA,NA,NA,"1","subtitle","Datenstand: 03.03.2021"
NA,NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,NA,"1","source","Kanton Zug, Amt für Gesundheit"
