"Woche","Geschlecht","Inzidenz pro 100'000","Meta","Type","Content"
2020-02-24,"männlich","1.55",NA,NA,NA
2020-03-02,"männlich","7.74",NA,NA,NA
2020-03-09,"männlich","9.29",NA,NA,NA
2020-03-16,"männlich","24.77",NA,NA,NA
2020-03-23,"männlich","38.7",NA,NA,NA
2020-03-30,"männlich","29.41",NA,NA,NA
2020-04-06,"männlich","15.48",NA,NA,NA
2020-04-13,"männlich","4.64",NA,NA,NA
2020-04-20,"männlich","6.19",NA,NA,NA
2020-04-27,"männlich","6.19",NA,NA,NA
2020-05-04,"männlich","3.1",NA,NA,NA
2020-05-11,"männlich","0",NA,NA,NA
2020-05-18,"männlich","3.1",NA,NA,NA
2020-05-25,"männlich","0",NA,NA,NA
2020-06-01,"männlich","0",NA,NA,NA
2020-06-08,"männlich","10.84",NA,NA,NA
2020-06-15,"männlich","3.1",NA,NA,NA
2020-06-22,"männlich","9.29",NA,NA,NA
2020-06-29,"männlich","7.74",NA,NA,NA
2020-07-06,"männlich","6.19",NA,NA,NA
2020-07-13,"männlich","9.29",NA,NA,NA
2020-07-20,"männlich","7.74",NA,NA,NA
2020-07-27,"männlich","21.67",NA,NA,NA
2020-08-03,"männlich","6.19",NA,NA,NA
2020-08-10,"männlich","13.93",NA,NA,NA
2020-08-17,"männlich","18.58",NA,NA,NA
2020-08-24,"männlich","17.03",NA,NA,NA
2020-08-31,"männlich","26.32",NA,NA,NA
2020-09-07,"männlich","26.32",NA,NA,NA
2020-09-14,"männlich","10.84",NA,NA,NA
2020-09-21,"männlich","13.93",NA,NA,NA
2020-09-28,"männlich","51.09",NA,NA,NA
2020-10-05,"männlich","151.72",NA,NA,NA
2020-10-12,"männlich","236.86",NA,NA,NA
2020-10-19,"männlich","397.87",NA,NA,NA
2020-10-26,"männlich","382.39",NA,NA,NA
2020-11-02,"männlich","297.24",NA,NA,NA
2020-11-09,"männlich","295.69",NA,NA,NA
2020-11-16,"männlich","295.69",NA,NA,NA
2020-11-23,"männlich","249.25",NA,NA,NA
2020-11-30,"männlich","261.63",NA,NA,NA
2020-12-07,"männlich","252.35",NA,NA,NA
2020-12-14,"männlich","308.08",NA,NA,NA
2020-12-21,"männlich","229.12",NA,NA,NA
2020-12-28,"männlich","241.51",NA,NA,NA
2021-01-04,"männlich","224.48",NA,NA,NA
2021-01-11,"männlich","150.17",NA,NA,NA
2021-01-18,"männlich","142.43",NA,NA,NA
2021-01-25,"männlich","113.01",NA,NA,NA
2021-02-01,"männlich","154.81",NA,NA,NA
2021-02-08,"männlich","99.08",NA,NA,NA
2021-02-15,"männlich","57.28",NA,NA,NA
2021-02-22,"männlich","58.83",NA,NA,NA
2021-03-01,"männlich","78.95",NA,NA,NA
2021-03-08,"männlich","113.01",NA,NA,NA
2021-03-15,"männlich","55.73",NA,NA,NA
2020-02-24,"weiblich","0",NA,NA,NA
2020-03-02,"weiblich","1.59",NA,NA,NA
2020-03-09,"weiblich","6.34",NA,NA,NA
2020-03-16,"weiblich","26.96",NA,NA,NA
2020-03-23,"weiblich","19.03",NA,NA,NA
2020-03-30,"weiblich","34.89",NA,NA,NA
2020-04-06,"weiblich","4.76",NA,NA,NA
2020-04-13,"weiblich","3.17",NA,NA,NA
2020-04-20,"weiblich","7.93",NA,NA,NA
2020-04-27,"weiblich","4.76",NA,NA,NA
2020-05-04,"weiblich","0",NA,NA,NA
2020-05-11,"weiblich","6.34",NA,NA,NA
2020-05-18,"weiblich","1.59",NA,NA,NA
2020-05-25,"weiblich","0",NA,NA,NA
2020-06-01,"weiblich","1.59",NA,NA,NA
2020-06-08,"weiblich","4.76",NA,NA,NA
2020-06-15,"weiblich","1.59",NA,NA,NA
2020-06-22,"weiblich","1.59",NA,NA,NA
2020-06-29,"weiblich","15.86",NA,NA,NA
2020-07-06,"weiblich","12.69",NA,NA,NA
2020-07-13,"weiblich","6.34",NA,NA,NA
2020-07-20,"weiblich","11.1",NA,NA,NA
2020-07-27,"weiblich","11.1",NA,NA,NA
2020-08-03,"weiblich","9.52",NA,NA,NA
2020-08-10,"weiblich","7.93",NA,NA,NA
2020-08-17,"weiblich","12.69",NA,NA,NA
2020-08-24,"weiblich","7.93",NA,NA,NA
2020-08-31,"weiblich","19.03",NA,NA,NA
2020-09-07,"weiblich","12.69",NA,NA,NA
