"Altersklasse","Anzahl Fälle","Meta","Type","Content"
"0 - 9 Jahre","1510",NA,NA,NA
"10 - 19 Jahre","21183",NA,NA,NA
"20 - 29 Jahre","12701",NA,NA,NA
"30 - 39 Jahre","14749",NA,NA,NA
"40 - 49 Jahre","13466",NA,NA,NA
"50 - 59 Jahre","12136",NA,NA,NA
"60 - 69 Jahre","6431",NA,NA,NA
"70 - 79 Jahre","2984",NA,NA,NA
"80+ Jahre","2590",NA,NA,NA
"Unbekannt","10",NA,NA,NA
NA,NA,"1","datatypes","string,integer"
NA,NA,"1","title","Durchgeführte COVID-19-Tests nach Alterskategorien im Total"
NA,NA,"1","subtitle","Datenstand: 19.03.2021"
NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Die Anzahl durgeführter Tests ist erst ab dem 25.5.2020 auf kantonaler Ebene verfügbar."
NA,NA,"1","source","Bundesamt für Gesundheit"
