"Altersklasse","Inzidenz pro 100'000","Meta","Type","Content"
"0 - 9 Jahre","10101.48",NA,NA,NA
"10 - 19 Jahre","68656.97",NA,NA,NA
"20 - 29 Jahre","84053.34",NA,NA,NA
"30 - 39 Jahre","71816.37",NA,NA,NA
"40 - 49 Jahre","60512.99",NA,NA,NA
"50 - 59 Jahre","50144.18",NA,NA,NA
"60 - 69 Jahre","40863.49",NA,NA,NA
"70 - 79 Jahre","26912.04",NA,NA,NA
"80+ Jahre","41953.14",NA,NA,NA
NA,NA,"1","datatypes","string,float"
NA,NA,"1","title","Durchgeführte COVID-19-Tests nach Alterskategorien im Total pro 100'000"
NA,NA,"1","subtitle","Datenstand: 02.03.2021"
NA,NA,"1","description","Die Inzidenz wird jeweils pro 100'000 Personen in der entsprechenden Alterklasse ausgewiesen. Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Die Anzahl durgeführter Tests ist erst ab dem 25.5.2020 auf kantonaler Ebene verfügbar."
NA,NA,"1","source","Bundesamt für Gesundheit"
