"Typ","Datum","Anzahl","Meta","Type","Content"
"Aktive Fälle","01.03.2020","0",NA,NA,NA
"Aktive Fälle","02.03.2020","1",NA,NA,NA
"Aktive Fälle","03.03.2020","1",NA,NA,NA
"Aktive Fälle","04.03.2020","2",NA,NA,NA
"Aktive Fälle","05.03.2020","3",NA,NA,NA
"Aktive Fälle","06.03.2020","3",NA,NA,NA
"Aktive Fälle","07.03.2020","3",NA,NA,NA
"Aktive Fälle","08.03.2020","10",NA,NA,NA
"Aktive Fälle","09.03.2020","10",NA,NA,NA
"Aktive Fälle","10.03.2020","11",NA,NA,NA
"Aktive Fälle","11.03.2020","11",NA,NA,NA
"Aktive Fälle","12.03.2020","11",NA,NA,NA
"Aktive Fälle","13.03.2020","13",NA,NA,NA
"Aktive Fälle","14.03.2020","13",NA,NA,NA
"Aktive Fälle","15.03.2020","20",NA,NA,NA
"Aktive Fälle","16.03.2020","28",NA,NA,NA
"Aktive Fälle","17.03.2020","28",NA,NA,NA
"Aktive Fälle","18.03.2020","32",NA,NA,NA
"Aktive Fälle","19.03.2020","43",NA,NA,NA
"Aktive Fälle","20.03.2020","48",NA,NA,NA
"Aktive Fälle","21.03.2020","48",NA,NA,NA
"Aktive Fälle","22.03.2020","48",NA,NA,NA
"Aktive Fälle","23.03.2020","60",NA,NA,NA
"Aktive Fälle","24.03.2020","62",NA,NA,NA
"Aktive Fälle","25.03.2020","69",NA,NA,NA
"Aktive Fälle","26.03.2020","76",NA,NA,NA
"Aktive Fälle","27.03.2020","79",NA,NA,NA
"Aktive Fälle","28.03.2020","79",NA,NA,NA
"Aktive Fälle","29.03.2020","82",NA,NA,NA
"Aktive Fälle","30.03.2020","74",NA,NA,NA
"Aktive Fälle","31.03.2020","84",NA,NA,NA
"Aktive Fälle","01.04.2020","89",NA,NA,NA
"Aktive Fälle","02.04.2020","93",NA,NA,NA
"Aktive Fälle","03.04.2020","98",NA,NA,NA
"Aktive Fälle","04.04.2020","98",NA,NA,NA
"Aktive Fälle","05.04.2020","97",NA,NA,NA
"Aktive Fälle","06.04.2020","100",NA,NA,NA
"Aktive Fälle","07.04.2020","98",NA,NA,NA
"Aktive Fälle","08.04.2020","93",NA,NA,NA
"Aktive Fälle","09.04.2020","89",NA,NA,NA
"Aktive Fälle","10.04.2020","85",NA,NA,NA
"Aktive Fälle","11.04.2020","83",NA,NA,NA
"Aktive Fälle","12.04.2020","81",NA,NA,NA
"Aktive Fälle","13.04.2020","78",NA,NA,NA
"Aktive Fälle","14.04.2020","74",NA,NA,NA
"Aktive Fälle","15.04.2020","71",NA,NA,NA
"Aktive Fälle","16.04.2020","70",NA,NA,NA
"Aktive Fälle","17.04.2020","68",NA,NA,NA
"Aktive Fälle","18.04.2020","69",NA,NA,NA
"Aktive Fälle","19.04.2020","69",NA,NA,NA
"Aktive Fälle","20.04.2020","69",NA,NA,NA
"Aktive Fälle","21.04.2020","37",NA,NA,NA
"Aktive Fälle","22.04.2020","37",NA,NA,NA
"Aktive Fälle","23.04.2020","39",NA,NA,NA
"Aktive Fälle","24.04.2020","40",NA,NA,NA
"Aktive Fälle","25.04.2020","40",NA,NA,NA
"Aktive Fälle","26.04.2020","43",NA,NA,NA
"Aktive Fälle","27.04.2020","43",NA,NA,NA
"Aktive Fälle","28.04.2020","42",NA,NA,NA
"Aktive Fälle","29.04.2020","46",NA,NA,NA
"Aktive Fälle","30.04.2020","45",NA,NA,NA
"Aktive Fälle","01.05.2020","45",NA,NA,NA
"Aktive Fälle","02.05.2020","44",NA,NA,NA
"Aktive Fälle","03.05.2020","44",NA,NA,NA
"Aktive Fälle","04.05.2020","45",NA,NA,NA
"Aktive Fälle","05.05.2020","41",NA,NA,NA
"Aktive Fälle","06.05.2020","41",NA,NA,NA
"Aktive Fälle","07.05.2020","40",NA,NA,NA
"Aktive Fälle","08.05.2020","33",NA,NA,NA
"Aktive Fälle","09.05.2020","33",NA,NA,NA
"Aktive Fälle","10.05.2020","33",NA,NA,NA
"Aktive Fälle","11.05.2020","27",NA,NA,NA
"Aktive Fälle","12.05.2020","26",NA,NA,NA
"Aktive Fälle","13.05.2020","28",NA,NA,NA
"Aktive Fälle","14.05.2020","27",NA,NA,NA
"Aktive Fälle","15.05.2020","23",NA,NA,NA
"Aktive Fälle","16.05.2020","23",NA,NA,NA
"Aktive Fälle","17.05.2020","22",NA,NA,NA
"Aktive Fälle","18.05.2020","20",NA,NA,NA
"Aktive Fälle","19.05.2020","20",NA,NA,NA
"Aktive Fälle","20.05.2020","18",NA,NA,NA
"Aktive Fälle","21.05.2020","18",NA,NA,NA
"Aktive Fälle","22.05.2020","19",NA,NA,NA
"Aktive Fälle","23.05.2020","20",NA,NA,NA
"Aktive Fälle","24.05.2020","19",NA,NA,NA
"Aktive Fälle","25.05.2020","18",NA,NA,NA
"Aktive Fälle","26.05.2020","14",NA,NA,NA
"Aktive Fälle","27.05.2020","13",NA,NA,NA
"Aktive Fälle","28.05.2020","13",NA,NA,NA
"Aktive Fälle","29.05.2020","13",NA,NA,NA
"Aktive Fälle","30.05.2020","13",NA,NA,NA
"Aktive Fälle","31.05.2020","13",NA,NA,NA
"Aktive Fälle","01.06.2020","8",NA,NA,NA
"Aktive Fälle","02.06.2020","8",NA,NA,NA
"Aktive Fälle","03.06.2020","8",NA,NA,NA
"Aktive Fälle","04.06.2020","8",NA,NA,NA
"Aktive Fälle","05.06.2020","8",NA,NA,NA
"Aktive Fälle","06.06.2020","8",NA,NA,NA
"Aktive Fälle","07.06.2020","9",NA,NA,NA
"Aktive Fälle","08.06.2020","11",NA,NA,NA
"Aktive Fälle","09.06.2020","12",NA,NA,NA
"Aktive Fälle","10.06.2020","12",NA,NA,NA
"Aktive Fälle","11.06.2020","16",NA,NA,NA
"Aktive Fälle","12.06.2020","16",NA,NA,NA
"Aktive Fälle","13.06.2020","16",NA,NA,NA
"Aktive Fälle","14.06.2020","15",NA,NA,NA
"Aktive Fälle","15.06.2020","16",NA,NA,NA
"Aktive Fälle","16.06.2020","17",NA,NA,NA
"Aktive Fälle","17.06.2020","16",NA,NA,NA
"Aktive Fälle","18.06.2020","16",NA,NA,NA
"Aktive Fälle","19.06.2020","16",NA,NA,NA
"Aktive Fälle","20.06.2020","16",NA,NA,NA
"Aktive Fälle","21.06.2020","17",NA,NA,NA
"Aktive Fälle","22.06.2020","17",NA,NA,NA
"Aktive Fälle","23.06.2020","13",NA,NA,NA
"Aktive Fälle","24.06.2020","14",NA,NA,NA
"Aktive Fälle","25.06.2020","14",NA,NA,NA
"Aktive Fälle","26.06.2020","14",NA,NA,NA
"Aktive Fälle","27.06.2020","14",NA,NA,NA
"Aktive Fälle","28.06.2020","16",NA,NA,NA
"Aktive Fälle","29.06.2020","17",NA,NA,NA
"Aktive Fälle","30.06.2020","16",NA,NA,NA
"Aktive Fälle","01.07.2020","18",NA,NA,NA
"Aktive Fälle","02.07.2020","22",NA,NA,NA
"Aktive Fälle","03.07.2020","22",NA,NA,NA
"Aktive Fälle","04.07.2020","22",NA,NA,NA
"Aktive Fälle","05.07.2020","25",NA,NA,NA
"Aktive Fälle","06.07.2020","25",NA,NA,NA
"Aktive Fälle","07.07.2020","23",NA,NA,NA
"Aktive Fälle","08.07.2020","23",NA,NA,NA
"Aktive Fälle","09.07.2020","25",NA,NA,NA
"Aktive Fälle","10.07.2020","28",NA,NA,NA
"Aktive Fälle","11.07.2020","30",NA,NA,NA
"Aktive Fälle","12.07.2020","26",NA,NA,NA
"Aktive Fälle","13.07.2020","25",NA,NA,NA
"Aktive Fälle","14.07.2020","27",NA,NA,NA
"Aktive Fälle","15.07.2020","27",NA,NA,NA
"Aktive Fälle","16.07.2020","27",NA,NA,NA
"Aktive Fälle","17.07.2020","27",NA,NA,NA
"Aktive Fälle","18.07.2020","27",NA,NA,NA
"Aktive Fälle","19.07.2020","28",NA,NA,NA
"Aktive Fälle","20.07.2020","25",NA,NA,NA
