"Woche","Geschlecht","Anzahl Fälle","Meta","Type","Content"
2020-02-24,"männlich","1",NA,NA,NA
2020-03-02,"männlich","5",NA,NA,NA
2020-03-09,"männlich","6",NA,NA,NA
2020-03-16,"männlich","16",NA,NA,NA
2020-03-23,"männlich","25",NA,NA,NA
2020-03-30,"männlich","19",NA,NA,NA
2020-04-06,"männlich","10",NA,NA,NA
2020-04-13,"männlich","3",NA,NA,NA
2020-04-20,"männlich","4",NA,NA,NA
2020-04-27,"männlich","4",NA,NA,NA
2020-05-04,"männlich","2",NA,NA,NA
2020-05-11,"männlich","0",NA,NA,NA
2020-05-18,"männlich","2",NA,NA,NA
2020-05-25,"männlich","0",NA,NA,NA
2020-06-01,"männlich","0",NA,NA,NA
2020-06-08,"männlich","7",NA,NA,NA
2020-06-15,"männlich","2",NA,NA,NA
2020-06-22,"männlich","6",NA,NA,NA
2020-06-29,"männlich","5",NA,NA,NA
2020-07-06,"männlich","4",NA,NA,NA
2020-07-13,"männlich","6",NA,NA,NA
2020-07-20,"männlich","5",NA,NA,NA
2020-07-27,"männlich","14",NA,NA,NA
2020-08-03,"männlich","4",NA,NA,NA
2020-08-10,"männlich","9",NA,NA,NA
2020-08-17,"männlich","12",NA,NA,NA
2020-08-24,"männlich","11",NA,NA,NA
2020-08-31,"männlich","17",NA,NA,NA
2020-09-07,"männlich","17",NA,NA,NA
2020-09-14,"männlich","7",NA,NA,NA
2020-09-21,"männlich","9",NA,NA,NA
2020-09-28,"männlich","33",NA,NA,NA
2020-10-05,"männlich","98",NA,NA,NA
2020-10-12,"männlich","152",NA,NA,NA
2020-10-19,"männlich","258",NA,NA,NA
2020-10-26,"männlich","247",NA,NA,NA
2020-11-02,"männlich","192",NA,NA,NA
2020-11-09,"männlich","191",NA,NA,NA
2020-11-16,"männlich","190",NA,NA,NA
2020-11-23,"männlich","161",NA,NA,NA
2020-11-30,"männlich","169",NA,NA,NA
2020-12-07,"männlich","63",NA,NA,NA
2020-02-24,"weiblich","0",NA,NA,NA
2020-03-02,"weiblich","1",NA,NA,NA
2020-03-09,"weiblich","4",NA,NA,NA
2020-03-16,"weiblich","17",NA,NA,NA
2020-03-23,"weiblich","12",NA,NA,NA
2020-03-30,"weiblich","22",NA,NA,NA
2020-04-06,"weiblich","3",NA,NA,NA
2020-04-13,"weiblich","2",NA,NA,NA
2020-04-20,"weiblich","5",NA,NA,NA
2020-04-27,"weiblich","3",NA,NA,NA
2020-05-04,"weiblich","0",NA,NA,NA
2020-05-11,"weiblich","4",NA,NA,NA
2020-05-18,"weiblich","1",NA,NA,NA
