"Altersklasse","Inzidenz pro 100'000","Meta","Type","Content"
"0 - 9 Jahre","1120.67",NA,NA,NA
"10 - 19 Jahre","5821.23",NA,NA,NA
"20 - 29 Jahre","8550.56",NA,NA,NA
"30 - 39 Jahre","5836.95",NA,NA,NA
"40 - 49 Jahre","5640.24",NA,NA,NA
"50 - 59 Jahre","5695.53",NA,NA,NA
"60 - 69 Jahre","4608.26",NA,NA,NA
"70 - 79 Jahre","3502.49",NA,NA,NA
"80+ Jahre","7525.21",NA,NA,NA
NA,NA,"1","datatypes","string,float"
NA,NA,"1","title","Positiv getestete Personen nach Alterskategorien im Total pro 100'000"
NA,NA,"1","subtitle","Datenstand: 19.03.2021"
NA,NA,"1","description","Die Inzidenz wird jeweils pro 100'000 Personen in der entsprechenden Alterklasse ausgewiesen. Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,"1","source","Bundesamt für Gesundheit"
