"Woche","Gemeinde","Inzidenz pro 100'000","Meta","Type","Content"
2020-03-09,"Baar","8.12446683186416",NA,NA,NA
2020-03-16,"Baar","12.1867002477962",NA,NA,NA
2020-03-23,"Baar","16.2489336637283",NA,NA,NA
2020-03-30,"Baar","64.9957346549133",NA,NA,NA
2020-04-06,"Baar","12.1867002477962",NA,NA,NA
2020-04-13,"Baar","4.06223341593208",NA,NA,NA
2020-04-20,"Baar","4.06223341593208",NA,NA,NA
2020-04-27,"Baar","8.12446683186416",NA,NA,NA
2020-05-04,"Baar","4.06223341593208",NA,NA,NA
2020-06-22,"Baar","4.06223341593208",NA,NA,NA
2020-06-29,"Baar","28.4356339115246",NA,NA,NA
2020-07-06,"Baar","24.3734004955925",NA,NA,NA
2020-07-13,"Baar","20.3111670796604",NA,NA,NA
2020-07-20,"Baar","12.1867002477962",NA,NA,NA
2020-07-27,"Baar","12.1867002477962",NA,NA,NA
2020-08-03,"Baar","8.12446683186416",NA,NA,NA
2020-08-10,"Baar","16.2489336637283",NA,NA,NA
2020-08-17,"Baar","24.3734004955925",NA,NA,NA
2020-08-24,"Baar","12.1867002477962",NA,NA,NA
2020-08-31,"Baar","20.3111670796604",NA,NA,NA
2020-09-07,"Baar","12.1867002477962",NA,NA,NA
2020-09-21,"Baar","20.3111670796604",NA,NA,NA
2020-09-28,"Baar","44.6845675752529",NA,NA,NA
2020-10-05,"Baar","105.618068814234",NA,NA,NA
2020-10-12,"Baar","211.236137628468",NA,NA,NA
2020-10-19,"Baar","385.912174513548",NA,NA,NA
2020-10-26,"Baar","369.663240849819",NA,NA,NA
2020-11-02,"Baar","414.347808425072",NA,NA,NA
2020-11-09,"Baar","308.729739610838",NA,NA,NA
2020-11-16,"Baar","312.79197302677",NA,NA,NA
2020-11-23,"Baar","304.667506194906",NA,NA,NA
2020-11-30,"Baar","333.10314010643",NA,NA,NA
2020-12-07,"Baar","304.667506194906",NA,NA,NA
2020-12-14,"Baar","320.916439858634",NA,NA,NA
2020-12-21,"Baar","243.734004955925",NA,NA,NA
2020-12-28,"Baar","324.978673274566",NA,NA,NA
2021-01-04,"Baar","272.169638867449",NA,NA,NA
2021-01-11,"Baar","142.178169557623",NA,NA,NA
2021-01-18,"Baar","146.240402973555",NA,NA,NA
2021-01-25,"Baar","154.364869805419",NA,NA,NA
2021-02-01,"Baar","199.049437380672",NA,NA,NA
2021-02-08,"Baar","178.738270301011",NA,NA,NA
2021-02-15,"Baar","77.1824349027095",NA,NA,NA
2021-02-22,"Baar","89.3691351505057",NA,NA,NA
2021-03-01,"Baar","97.4936019823699",NA,NA,NA
2020-03-16,"Cham","11.8392233469484",NA,NA,NA
2020-03-23,"Cham","47.3568933877938",NA,NA,NA
2020-03-30,"Cham","35.5176700408453",NA,NA,NA
2020-04-06,"Cham","5.91961167347422",NA,NA,NA
2020-04-20,"Cham","11.8392233469484",NA,NA,NA
2020-04-27,"Cham","11.8392233469484",NA,NA,NA
2020-05-11,"Cham","11.8392233469484",NA,NA,NA
2020-06-01,"Cham","5.91961167347422",NA,NA,NA
2020-06-15,"Cham","5.91961167347422",NA,NA,NA
2020-06-29,"Cham","5.91961167347422",NA,NA,NA
2020-07-06,"Cham","11.8392233469484",NA,NA,NA
2020-07-13,"Cham","5.91961167347422",NA,NA,NA
2020-07-20,"Cham","11.8392233469484",NA,NA,NA
2020-07-27,"Cham","23.6784466938969",NA,NA,NA
2020-08-03,"Cham","5.91961167347422",NA,NA,NA
2020-08-10,"Cham","11.8392233469484",NA,NA,NA
2020-08-17,"Cham","11.8392233469484",NA,NA,NA
2020-08-24,"Cham","23.6784466938969",NA,NA,NA
2020-08-31,"Cham","35.5176700408453",NA,NA,NA
2020-09-07,"Cham","23.6784466938969",NA,NA,NA
2020-09-14,"Cham","23.6784466938969",NA,NA,NA
2020-09-21,"Cham","11.8392233469484",NA,NA,NA
2020-09-28,"Cham","35.5176700408453",NA,NA,NA
2020-10-05,"Cham","112.47262179601",NA,NA,NA
2020-10-12,"Cham","177.588350204227",NA,NA,NA
2020-10-19,"Cham","307.819807020659",NA,NA,NA
2020-10-26,"Cham","295.980583673711",NA,NA,NA
2020-11-02,"Cham","325.578642041082",NA,NA,NA
2020-11-09,"Cham","337.417865388031",NA,NA,NA
2020-11-16,"Cham","230.864855265495",NA,NA,NA
2020-11-23,"Cham","224.94524359202",NA,NA,NA
2020-11-30,"Cham","213.106020245072",NA,NA,NA
2020-12-07,"Cham","254.543301959391",NA,NA,NA
2020-12-14,"Cham","284.141360326763",NA,NA,NA
2020-12-21,"Cham","201.266796898123",NA,NA,NA
2020-12-28,"Cham","361.096312081927",NA,NA,NA
2021-01-04,"Cham","254.543301959391",NA,NA,NA
2021-01-11,"Cham","171.668738530752",NA,NA,NA
2021-01-18,"Cham","195.347185224649",NA,NA,NA
2021-01-25,"Cham","195.347185224649",NA,NA,NA
2021-02-01,"Cham","195.347185224649",NA,NA,NA
2021-02-08,"Cham","112.47262179601",NA,NA,NA
2021-02-15,"Cham","23.6784466938969",NA,NA,NA
2021-02-22,"Cham","47.3568933877938",NA,NA,NA
2021-03-01,"Cham","47.3568933877938",NA,NA,NA
2020-03-09,"Hünenberg","11.384335154827",NA,NA,NA
2020-03-23,"Hünenberg","22.7686703096539",NA,NA,NA
2020-03-30,"Hünenberg","22.7686703096539",NA,NA,NA
2020-04-06,"Hünenberg","11.384335154827",NA,NA,NA
2020-04-13,"Hünenberg","11.384335154827",NA,NA,NA
2020-06-08,"Hünenberg","22.7686703096539",NA,NA,NA
2020-06-15,"Hünenberg","11.384335154827",NA,NA,NA
2020-07-20,"Hünenberg","11.384335154827",NA,NA,NA
2020-08-10,"Hünenberg","11.384335154827",NA,NA,NA
2020-09-07,"Hünenberg","22.7686703096539",NA,NA,NA
2020-09-21,"Hünenberg","11.384335154827",NA,NA,NA
2020-09-28,"Hünenberg","34.1530054644809",NA,NA,NA
2020-10-05,"Hünenberg","113.84335154827",NA,NA,NA
2020-10-12,"Hünenberg","125.227686703097",NA,NA,NA
2020-10-19,"Hünenberg","216.302367941712",NA,NA,NA
2020-10-26,"Hünenberg","364.298724954463",NA,NA,NA
2020-11-02,"Hünenberg","182.149362477231",NA,NA,NA
2020-11-09,"Hünenberg","239.071038251366",NA,NA,NA
2020-11-16,"Hünenberg","125.227686703097",NA,NA,NA
2020-11-23,"Hünenberg","216.302367941712",NA,NA,NA
2020-11-30,"Hünenberg","170.765027322404",NA,NA,NA
2020-12-07,"Hünenberg","193.533697632058",NA,NA,NA
2020-12-14,"Hünenberg","284.608378870674",NA,NA,NA
2020-12-21,"Hünenberg","250.455373406193",NA,NA,NA
2020-12-28,"Hünenberg","261.83970856102",NA,NA,NA
2021-01-04,"Hünenberg","250.455373406193",NA,NA,NA
2021-01-11,"Hünenberg","91.0746812386157",NA,NA,NA
2021-01-18,"Hünenberg","159.380692167577",NA,NA,NA
2021-01-25,"Hünenberg","136.612021857924",NA,NA,NA
2021-02-01,"Hünenberg","409.83606557377",NA,NA,NA
2021-02-08,"Hünenberg","136.612021857924",NA,NA,NA
2021-02-15,"Hünenberg","102.459016393443",NA,NA,NA
2021-02-22,"Hünenberg","22.7686703096539",NA,NA,NA
2021-03-01,"Hünenberg","170.765027322404",NA,NA,NA
2020-03-16,"Menzingen","43.9463854098",NA,NA,NA
2020-04-06,"Menzingen","21.9731927049",NA,NA,NA
