"Woche","Geschlecht","Anzahl Fälle","Meta","Type","Content"
2020-02-24,"männlich","0",NA,NA,NA
2020-03-02,"männlich","2",NA,NA,NA
2020-03-09,"männlich","0",NA,NA,NA
2020-03-16,"männlich","1",NA,NA,NA
2020-03-23,"männlich","7",NA,NA,NA
2020-03-30,"männlich","7",NA,NA,NA
2020-04-06,"männlich","3",NA,NA,NA
2020-04-13,"männlich","0",NA,NA,NA
2020-04-20,"männlich","0",NA,NA,NA
2020-04-27,"männlich","0",NA,NA,NA
2020-05-04,"männlich","0",NA,NA,NA
2020-05-11,"männlich","0",NA,NA,NA
2020-05-18,"männlich","0",NA,NA,NA
2020-05-25,"männlich","0",NA,NA,NA
2020-06-01,"männlich","0",NA,NA,NA
2020-06-08,"männlich","0",NA,NA,NA
2020-06-15,"männlich","0",NA,NA,NA
2020-06-22,"männlich","0",NA,NA,NA
2020-06-29,"männlich","0",NA,NA,NA
2020-07-06,"männlich","1",NA,NA,NA
2020-07-13,"männlich","0",NA,NA,NA
2020-07-20,"männlich","0",NA,NA,NA
2020-07-27,"männlich","0",NA,NA,NA
2020-08-03,"männlich","0",NA,NA,NA
2020-08-10,"männlich","1",NA,NA,NA
2020-08-17,"männlich","1",NA,NA,NA
2020-08-24,"männlich","1",NA,NA,NA
2020-08-31,"männlich","0",NA,NA,NA
2020-09-07,"männlich","1",NA,NA,NA
2020-09-14,"männlich","0",NA,NA,NA
2020-09-21,"männlich","2",NA,NA,NA
2020-09-28,"männlich","0",NA,NA,NA
2020-10-05,"männlich","1",NA,NA,NA
2020-10-12,"männlich","4",NA,NA,NA
2020-10-19,"männlich","9",NA,NA,NA
2020-10-26,"männlich","4",NA,NA,NA
2020-11-02,"männlich","2",NA,NA,NA
2020-11-09,"männlich","4",NA,NA,NA
2020-11-16,"männlich","2",NA,NA,NA
2020-11-23,"männlich","3",NA,NA,NA
2020-11-30,"männlich","4",NA,NA,NA
2020-12-07,"männlich","3",NA,NA,NA
2020-12-14,"männlich","2",NA,NA,NA
2020-12-21,"männlich","1",NA,NA,NA
2020-12-28,"männlich","5",NA,NA,NA
2021-01-04,"männlich","0",NA,NA,NA
2021-01-11,"männlich","5",NA,NA,NA
2021-01-18,"männlich","1",NA,NA,NA
2021-01-25,"männlich","2",NA,NA,NA
2021-02-01,"männlich","3",NA,NA,NA
2021-02-08,"männlich","1",NA,NA,NA
2021-02-15,"männlich","4",NA,NA,NA
2021-02-22,"männlich","1",NA,NA,NA
2021-03-01,"männlich","0",NA,NA,NA
2021-03-08,"männlich","3",NA,NA,NA
2021-03-15,"männlich","2",NA,NA,NA
2020-02-24,"weiblich","0",NA,NA,NA
2020-03-02,"weiblich","0",NA,NA,NA
2020-03-09,"weiblich","0",NA,NA,NA
2020-03-16,"weiblich","0",NA,NA,NA
2020-03-23,"weiblich","0",NA,NA,NA
2020-03-30,"weiblich","3",NA,NA,NA
2020-04-06,"weiblich","0",NA,NA,NA
2020-04-13,"weiblich","0",NA,NA,NA
2020-04-20,"weiblich","0",NA,NA,NA
2020-04-27,"weiblich","0",NA,NA,NA
2020-05-04,"weiblich","0",NA,NA,NA
2020-05-11,"weiblich","0",NA,NA,NA
2020-05-18,"weiblich","0",NA,NA,NA
2020-05-25,"weiblich","0",NA,NA,NA
2020-06-01,"weiblich","0",NA,NA,NA
2020-06-08,"weiblich","0",NA,NA,NA
2020-06-15,"weiblich","0",NA,NA,NA
2020-06-22,"weiblich","0",NA,NA,NA
2020-06-29,"weiblich","1",NA,NA,NA
2020-07-06,"weiblich","1",NA,NA,NA
2020-07-13,"weiblich","0",NA,NA,NA
2020-07-20,"weiblich","0",NA,NA,NA
2020-07-27,"weiblich","0",NA,NA,NA
2020-08-03,"weiblich","0",NA,NA,NA
2020-08-10,"weiblich","0",NA,NA,NA
2020-08-17,"weiblich","1",NA,NA,NA
2020-08-24,"weiblich","0",NA,NA,NA
2020-08-31,"weiblich","0",NA,NA,NA
2020-09-07,"weiblich","0",NA,NA,NA
2020-09-14,"weiblich","0",NA,NA,NA
2020-09-21,"weiblich","0",NA,NA,NA
2020-09-28,"weiblich","0",NA,NA,NA
2020-10-05,"weiblich","1",NA,NA,NA
2020-10-12,"weiblich","3",NA,NA,NA
2020-10-19,"weiblich","6",NA,NA,NA
2020-10-26,"weiblich","3",NA,NA,NA
2020-11-02,"weiblich","3",NA,NA,NA
2020-11-09,"weiblich","0",NA,NA,NA
2020-11-16,"weiblich","0",NA,NA,NA
2020-11-23,"weiblich","2",NA,NA,NA
2020-11-30,"weiblich","3",NA,NA,NA
2020-12-07,"weiblich","2",NA,NA,NA
2020-12-14,"weiblich","2",NA,NA,NA
2020-12-21,"weiblich","1",NA,NA,NA
2020-12-28,"weiblich","0",NA,NA,NA
2021-01-04,"weiblich","1",NA,NA,NA
2021-01-11,"weiblich","1",NA,NA,NA
2021-01-18,"weiblich","3",NA,NA,NA
2021-01-25,"weiblich","0",NA,NA,NA
2021-02-01,"weiblich","1",NA,NA,NA
2021-02-08,"weiblich","1",NA,NA,NA
2021-02-15,"weiblich","3",NA,NA,NA
2021-02-22,"weiblich","2",NA,NA,NA
2021-03-01,"weiblich","2",NA,NA,NA
2021-03-08,"weiblich","2",NA,NA,NA
2021-03-15,"weiblich","2",NA,NA,NA
2020-02-24,"Unbekannt","0",NA,NA,NA
2020-03-02,"Unbekannt","0",NA,NA,NA
2020-03-09,"Unbekannt","0",NA,NA,NA
2020-03-16,"Unbekannt","0",NA,NA,NA
2020-03-23,"Unbekannt","0",NA,NA,NA
2020-03-30,"Unbekannt","0",NA,NA,NA
2020-04-06,"Unbekannt","0",NA,NA,NA
2020-04-13,"Unbekannt","0",NA,NA,NA
2020-04-20,"Unbekannt","0",NA,NA,NA
2020-04-27,"Unbekannt","0",NA,NA,NA
2020-05-04,"Unbekannt","0",NA,NA,NA
2020-05-11,"Unbekannt","0",NA,NA,NA
2020-05-18,"Unbekannt","0",NA,NA,NA
2020-05-25,"Unbekannt","0",NA,NA,NA
2020-06-01,"Unbekannt","0",NA,NA,NA
2020-06-08,"Unbekannt","0",NA,NA,NA
2020-06-15,"Unbekannt","0",NA,NA,NA
2020-06-22,"Unbekannt","0",NA,NA,NA
2020-06-29,"Unbekannt","0",NA,NA,NA
2020-07-06,"Unbekannt","0",NA,NA,NA
2020-07-13,"Unbekannt","0",NA,NA,NA
2020-07-20,"Unbekannt","0",NA,NA,NA
2020-07-27,"Unbekannt","0",NA,NA,NA
2020-08-03,"Unbekannt","0",NA,NA,NA
2020-08-10,"Unbekannt","0",NA,NA,NA
2020-08-17,"Unbekannt","0",NA,NA,NA
2020-08-24,"Unbekannt","0",NA,NA,NA
2020-08-31,"Unbekannt","0",NA,NA,NA
2020-09-07,"Unbekannt","0",NA,NA,NA
2020-09-14,"Unbekannt","0",NA,NA,NA
2020-09-21,"Unbekannt","0",NA,NA,NA
2020-09-28,"Unbekannt","0",NA,NA,NA
2020-10-05,"Unbekannt","0",NA,NA,NA
2020-10-12,"Unbekannt","0",NA,NA,NA
2020-10-19,"Unbekannt","0",NA,NA,NA
2020-10-26,"Unbekannt","0",NA,NA,NA
2020-11-02,"Unbekannt","0",NA,NA,NA
2020-11-09,"Unbekannt","0",NA,NA,NA
2020-11-16,"Unbekannt","0",NA,NA,NA
2020-11-23,"Unbekannt","0",NA,NA,NA
2020-11-30,"Unbekannt","0",NA,NA,NA
2020-12-07,"Unbekannt","0",NA,NA,NA
2020-12-14,"Unbekannt","0",NA,NA,NA
2020-12-21,"Unbekannt","0",NA,NA,NA
2020-12-28,"Unbekannt","0",NA,NA,NA
2021-01-04,"Unbekannt","0",NA,NA,NA
2021-01-11,"Unbekannt","0",NA,NA,NA
2021-01-18,"Unbekannt","0",NA,NA,NA
2021-01-25,"Unbekannt","0",NA,NA,NA
2021-02-01,"Unbekannt","0",NA,NA,NA
2021-02-08,"Unbekannt","0",NA,NA,NA
2021-02-15,"Unbekannt","0",NA,NA,NA
2021-02-22,"Unbekannt","0",NA,NA,NA
2021-03-01,"Unbekannt","0",NA,NA,NA
2021-03-08,"Unbekannt","0",NA,NA,NA
2021-03-15,"Unbekannt","0",NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,integer"
NA,NA,NA,"1","title","Hospitalisierung aufgrund von COVID-19 nach Geschlecht im Zeitverlauf"
NA,NA,NA,"1","subtitle","Datenstand: 19.03.2021"
NA,NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Hospitalisierungen werden beim BAG mit zeitlicher Verzögerung registriert, diese Zahlen umfassen noch nicht alle im Kanton registrierten Fälle."
NA,NA,NA,"1","source","Bundesamt für Gesundheit"
