"Typ","Datum","Anzahl","Meta","Type","Content"
"Aktive Fälle","01.03.2020","0",NA,NA,NA
"Aktive Fälle","02.03.2020","1",NA,NA,NA
"Aktive Fälle","03.03.2020","2",NA,NA,NA
"Aktive Fälle","04.03.2020","4",NA,NA,NA
"Aktive Fälle","05.03.2020","7",NA,NA,NA
"Aktive Fälle","06.03.2020","10",NA,NA,NA
"Aktive Fälle","07.03.2020","13",NA,NA,NA
"Aktive Fälle","08.03.2020","23",NA,NA,NA
"Aktive Fälle","09.03.2020","32",NA,NA,NA
"Aktive Fälle","10.03.2020","42",NA,NA,NA
"Aktive Fälle","11.03.2020","51",NA,NA,NA
"Aktive Fälle","12.03.2020","59",NA,NA,NA
"Aktive Fälle","13.03.2020","69",NA,NA,NA
"Aktive Fälle","14.03.2020","79",NA,NA,NA
"Aktive Fälle","15.03.2020","89",NA,NA,NA
"Aktive Fälle","16.03.2020","107",NA,NA,NA
"Aktive Fälle","17.03.2020","124",NA,NA,NA
"Aktive Fälle","18.03.2020","145",NA,NA,NA
"Aktive Fälle","19.03.2020","177",NA,NA,NA
"Aktive Fälle","20.03.2020","212",NA,NA,NA
"Aktive Fälle","21.03.2020","247",NA,NA,NA
"Aktive Fälle","22.03.2020","275",NA,NA,NA
"Aktive Fälle","23.03.2020","307",NA,NA,NA
"Aktive Fälle","24.03.2020","341",NA,NA,NA
"Aktive Fälle","25.03.2020","378",NA,NA,NA
"Aktive Fälle","26.03.2020","411",NA,NA,NA
"Aktive Fälle","27.03.2020","442",NA,NA,NA
"Aktive Fälle","28.03.2020","473",NA,NA,NA
"Aktive Fälle","29.03.2020","507",NA,NA,NA
"Aktive Fälle","30.03.2020","521",NA,NA,NA
"Aktive Fälle","31.03.2020","543",NA,NA,NA
"Aktive Fälle","01.04.2020","563",NA,NA,NA
"Aktive Fälle","02.04.2020","580",NA,NA,NA
"Aktive Fälle","03.04.2020","599",NA,NA,NA
"Aktive Fälle","04.04.2020","618",NA,NA,NA
"Aktive Fälle","05.04.2020","633",NA,NA,NA
"Aktive Fälle","06.04.2020","659",NA,NA,NA
"Aktive Fälle","07.04.2020","673",NA,NA,NA
"Aktive Fälle","08.04.2020","677",NA,NA,NA
"Aktive Fälle","09.04.2020","673",NA,NA,NA
"Aktive Fälle","10.04.2020","660",NA,NA,NA
"Aktive Fälle","11.04.2020","645",NA,NA,NA
"Aktive Fälle","12.04.2020","629",NA,NA,NA
"Aktive Fälle","13.04.2020","607",NA,NA,NA
"Aktive Fälle","14.04.2020","583",NA,NA,NA
"Aktive Fälle","15.04.2020","561",NA,NA,NA
"Aktive Fälle","16.04.2020","542",NA,NA,NA
"Aktive Fälle","17.04.2020","525",NA,NA,NA
"Aktive Fälle","18.04.2020","511",NA,NA,NA
"Aktive Fälle","19.04.2020","499",NA,NA,NA
"Aktive Fälle","20.04.2020","490",NA,NA,NA
"Aktive Fälle","21.04.2020","453",NA,NA,NA
"Aktive Fälle","22.04.2020","419",NA,NA,NA
"Aktive Fälle","23.04.2020","388",NA,NA,NA
"Aktive Fälle","24.04.2020","360",NA,NA,NA
"Aktive Fälle","25.04.2020","331",NA,NA,NA
"Aktive Fälle","26.04.2020","305",NA,NA,NA
"Aktive Fälle","27.04.2020","279",NA,NA,NA
"Aktive Fälle","28.04.2020","284",NA,NA,NA
"Aktive Fälle","29.04.2020","293",NA,NA,NA
"Aktive Fälle","30.04.2020","299",NA,NA,NA
"Aktive Fälle","01.05.2020","304",NA,NA,NA
"Aktive Fälle","02.05.2020","308",NA,NA,NA
"Aktive Fälle","03.05.2020","309",NA,NA,NA
"Aktive Fälle","04.05.2020","311",NA,NA,NA
"Aktive Fälle","05.05.2020","310",NA,NA,NA
"Aktive Fälle","06.05.2020","305",NA,NA,NA
"Aktive Fälle","07.05.2020","300",NA,NA,NA
"Aktive Fälle","08.05.2020","288",NA,NA,NA
"Aktive Fälle","09.05.2020","277",NA,NA,NA
"Aktive Fälle","10.05.2020","266",NA,NA,NA
"Aktive Fälle","11.05.2020","248",NA,NA,NA
"Aktive Fälle","12.05.2020","233",NA,NA,NA
"Aktive Fälle","13.05.2020","220",NA,NA,NA
"Aktive Fälle","14.05.2020","207",NA,NA,NA
"Aktive Fälle","15.05.2020","197",NA,NA,NA
"Aktive Fälle","16.05.2020","187",NA,NA,NA
"Aktive Fälle","17.05.2020","176",NA,NA,NA
"Aktive Fälle","18.05.2020","169",NA,NA,NA
"Aktive Fälle","19.05.2020","163",NA,NA,NA
"Aktive Fälle","20.05.2020","153",NA,NA,NA
"Aktive Fälle","21.05.2020","144",NA,NA,NA
"Aktive Fälle","22.05.2020","140",NA,NA,NA
"Aktive Fälle","23.05.2020","137",NA,NA,NA
"Aktive Fälle","24.05.2020","134",NA,NA,NA
"Aktive Fälle","25.05.2020","132",NA,NA,NA
"Aktive Fälle","26.05.2020","126",NA,NA,NA
"Aktive Fälle","27.05.2020","121",NA,NA,NA
"Aktive Fälle","28.05.2020","116",NA,NA,NA
"Aktive Fälle","29.05.2020","110",NA,NA,NA
"Aktive Fälle","30.05.2020","103",NA,NA,NA
"Aktive Fälle","31.05.2020","97",NA,NA,NA
"Aktive Fälle","01.06.2020","87",NA,NA,NA
"Aktive Fälle","02.06.2020","81",NA,NA,NA
"Aktive Fälle","03.06.2020","76",NA,NA,NA
"Aktive Fälle","04.06.2020","71",NA,NA,NA
"Aktive Fälle","05.06.2020","66",NA,NA,NA
"Aktive Fälle","06.06.2020","61",NA,NA,NA
"Aktive Fälle","07.06.2020","57",NA,NA,NA
"Aktive Fälle","08.06.2020","60",NA,NA,NA
"Aktive Fälle","09.06.2020","64",NA,NA,NA
"Aktive Fälle","10.06.2020","68",NA,NA,NA
"Aktive Fälle","11.06.2020","76",NA,NA,NA
"Aktive Fälle","12.06.2020","84",NA,NA,NA
"Aktive Fälle","13.06.2020","92",NA,NA,NA
"Aktive Fälle","14.06.2020","98",NA,NA,NA
"Aktive Fälle","15.06.2020","103",NA,NA,NA
"Aktive Fälle","16.06.2020","108",NA,NA,NA
"Aktive Fälle","17.06.2020","112",NA,NA,NA
"Aktive Fälle","18.06.2020","112",NA,NA,NA
"Aktive Fälle","19.06.2020","112",NA,NA,NA
"Aktive Fälle","20.06.2020","112",NA,NA,NA
"Aktive Fälle","21.06.2020","114",NA,NA,NA
"Aktive Fälle","22.06.2020","115",NA,NA,NA
"Aktive Fälle","23.06.2020","111",NA,NA,NA
"Aktive Fälle","24.06.2020","109",NA,NA,NA
"Aktive Fälle","25.06.2020","107",NA,NA,NA
"Aktive Fälle","26.06.2020","105",NA,NA,NA
"Aktive Fälle","27.06.2020","103",NA,NA,NA
"Aktive Fälle","28.06.2020","102",NA,NA,NA
"Aktive Fälle","29.06.2020","102",NA,NA,NA
"Aktive Fälle","30.06.2020","105",NA,NA,NA
"Aktive Fälle","01.07.2020","109",NA,NA,NA
"Aktive Fälle","02.07.2020","117",NA,NA,NA
"Aktive Fälle","03.07.2020","125",NA,NA,NA
"Aktive Fälle","04.07.2020","133",NA,NA,NA
"Aktive Fälle","05.07.2020","142",NA,NA,NA
"Aktive Fälle","06.07.2020","150",NA,NA,NA
"Aktive Fälle","07.07.2020","157",NA,NA,NA
"Aktive Fälle","08.07.2020","162",NA,NA,NA
"Aktive Fälle","09.07.2020","165",NA,NA,NA
"Aktive Fälle","10.07.2020","171",NA,NA,NA
"Aktive Fälle","11.07.2020","179",NA,NA,NA
"Aktive Fälle","12.07.2020","180",NA,NA,NA
"Aktive Fälle","13.07.2020","180",NA,NA,NA
"Aktive Fälle","14.07.2020","184",NA,NA,NA
"Aktive Fälle","15.07.2020","188",NA,NA,NA
"Aktive Fälle","16.07.2020","190",NA,NA,NA
"Aktive Fälle","17.07.2020","189",NA,NA,NA
"Aktive Fälle","18.07.2020","186",NA,NA,NA
"Aktive Fälle","19.07.2020","188",NA,NA,NA
"Aktive Fälle","20.07.2020","188",NA,NA,NA
