"Typ","Datum","Anzahl","Stand","Meta","Type","Content"
"Fallzahl","01.03.2020","0","2020-03-02 08:00:00",NA,NA,NA
"Fallzahl","02.03.2020","0.142857142857143","2020-03-03 08:00:00",NA,NA,NA
"Fallzahl","03.03.2020","0.285714285714286","2020-03-04 08:00:00",NA,NA,NA
"Fallzahl","04.03.2020","0.571428571428571","2020-03-05 08:00:00",NA,NA,NA
"Fallzahl","05.03.2020","1","2020-03-06 08:00:00",NA,NA,NA
"Fallzahl","06.03.2020","1.42857142857143","2020-03-07 08:00:00",NA,NA,NA
"Fallzahl","07.03.2020","1.85714285714286","2020-03-08 08:00:00",NA,NA,NA
"Fallzahl","08.03.2020","3.28571428571429","2020-03-09 08:00:00",NA,NA,NA
"Fallzahl","09.03.2020","4.57142857142857","2020-03-10 08:00:00",NA,NA,NA
"Fallzahl","10.03.2020","6","2020-03-11 08:00:00",NA,NA,NA
"Fallzahl","11.03.2020","7.28571428571429","2020-03-12 08:00:00",NA,NA,NA
"Fallzahl","12.03.2020","8.42857142857143","2020-03-13 08:00:00",NA,NA,NA
"Fallzahl","13.03.2020","9.85714285714286","2020-03-14 08:00:00",NA,NA,NA
"Fallzahl","14.03.2020","11.2857142857143","2020-03-15 08:00:00",NA,NA,NA
"Fallzahl","15.03.2020","12.7142857142857","2020-03-16 08:00:00",NA,NA,NA
"Fallzahl","16.03.2020","15.4285714285714","2020-03-17 08:00:00",NA,NA,NA
"Fallzahl","17.03.2020","18.5714285714286","2020-03-18 08:00:00",NA,NA,NA
"Fallzahl","18.03.2020","22.2857142857143","2020-03-19 08:00:00",NA,NA,NA
"Fallzahl","19.03.2020","27.5714285714286","2020-03-20 08:00:00",NA,NA,NA
"Fallzahl","20.03.2020","33.2857142857143","2020-03-21 08:00:00",NA,NA,NA
"Fallzahl","21.03.2020","39","2020-03-22 08:00:00",NA,NA,NA
"Fallzahl","22.03.2020","43.7142857142857","2020-03-23 08:00:00",NA,NA,NA
"Fallzahl","23.03.2020","49.8571428571429","2020-03-24 08:00:00",NA,NA,NA
"Fallzahl","24.03.2020","56.5714285714286","2020-03-25 08:00:00",NA,NA,NA
"Fallzahl","25.03.2020","63.7142857142857","2020-03-26 08:00:00",NA,NA,NA
"Fallzahl","26.03.2020","70.2857142857143","2020-03-27 08:00:00",NA,NA,NA
"Fallzahl","27.03.2020","77.1428571428571","2020-03-28 08:00:00",NA,NA,NA
"Fallzahl","28.03.2020","84","2020-03-29 08:00:00",NA,NA,NA
"Fallzahl","29.03.2020","92.4285714285714","2020-03-30 08:00:00",NA,NA,NA
"Fallzahl","30.03.2020","98.4285714285714","2020-03-31 08:00:00",NA,NA,NA
"Fallzahl","31.03.2020","104.857142857143","2020-04-01 08:00:00",NA,NA,NA
"Fallzahl","01.04.2020","111.142857142857","2020-04-02 08:00:00",NA,NA,NA
"Fallzahl","02.04.2020","117.428571428571","2020-04-03 08:00:00",NA,NA,NA
"Fallzahl","03.04.2020","123.857142857143","2020-04-04 08:00:00",NA,NA,NA
"Fallzahl","04.04.2020","130.285714285714","2020-04-05 08:00:00",NA,NA,NA
"Fallzahl","05.04.2020","136","2020-04-06 08:00:00",NA,NA,NA
"Fallzahl","06.04.2020","142.142857142857","2020-04-07 08:00:00",NA,NA,NA
"Fallzahl","07.04.2020","147.428571428571","2020-04-08 08:00:00",NA,NA,NA
"Fallzahl","08.04.2020","152.285714285714","2020-04-09 08:00:00",NA,NA,NA
"Fallzahl","09.04.2020","156.571428571429","2020-04-10 08:00:00",NA,NA,NA
"Fallzahl","10.04.2020","159.714285714286","2020-04-11 08:00:00",NA,NA,NA
"Fallzahl","11.04.2020","162.857142857143","2020-04-12 08:00:00",NA,NA,NA
"Fallzahl","12.04.2020","165.428571428571","2020-04-13 08:00:00",NA,NA,NA
"Fallzahl","13.04.2020","167.428571428571","2020-04-14 08:00:00",NA,NA,NA
"Fallzahl","14.04.2020","168.714285714286","2020-04-15 08:00:00",NA,NA,NA
"Fallzahl","15.04.2020","169.571428571429","2020-04-16 08:00:00",NA,NA,NA
"Fallzahl","16.04.2020","170.142857142857","2020-04-17 08:00:00",NA,NA,NA
"Fallzahl","17.04.2020","171","2020-04-18 08:00:00",NA,NA,NA
"Fallzahl","18.04.2020","172","2020-04-19 08:00:00",NA,NA,NA
"Fallzahl","19.04.2020","172.714285714286","2020-04-20 08:00:00",NA,NA,NA
"Fallzahl","20.04.2020","173.428571428571","2020-04-21 08:00:00",NA,NA,NA
"Fallzahl","21.04.2020","174.142857142857","2020-04-22 08:00:00",NA,NA,NA
"Fallzahl","22.04.2020","175.142857142857","2020-04-23 08:00:00",NA,NA,NA
"Fallzahl","23.04.2020","176.285714285714","2020-04-24 08:00:00",NA,NA,NA
"Fallzahl","24.04.2020","177.285714285714","2020-04-25 08:00:00",NA,NA,NA
"Fallzahl","25.04.2020","178.142857142857","2020-04-26 08:00:00",NA,NA,NA
"Fallzahl","26.04.2020","179.571428571429","2020-04-27 08:00:00",NA,NA,NA
"Fallzahl","27.04.2020","180.857142857143","2020-04-28 08:00:00",NA,NA,NA
"Fallzahl","28.04.2020","182.142857142857","2020-04-29 08:00:00",NA,NA,NA
"Fallzahl","29.04.2020","183.714285714286","2020-04-30 08:00:00",NA,NA,NA
"Fallzahl","30.04.2020","185","2020-05-01 08:00:00",NA,NA,NA
"Fallzahl","01.05.2020","186.142857142857","2020-05-02 08:00:00",NA,NA,NA
"Fallzahl","02.05.2020","187.285714285714","2020-05-03 08:00:00",NA,NA,NA
"Fallzahl","03.05.2020","188","2020-05-04 08:00:00",NA,NA,NA
"Fallzahl","04.05.2020","188.857142857143","2020-05-05 08:00:00",NA,NA,NA
"Fallzahl","05.05.2020","189.714285714286","2020-05-06 08:00:00",NA,NA,NA
"Fallzahl","06.05.2020","190.142857142857","2020-05-07 08:00:00",NA,NA,NA
"Fallzahl","07.05.2020","190.571428571429","2020-05-08 08:00:00",NA,NA,NA
"Fallzahl","08.05.2020","191.142857142857","2020-05-09 08:00:00",NA,NA,NA
"Fallzahl","09.05.2020","191.714285714286","2020-05-10 08:00:00",NA,NA,NA
"Fallzahl","10.05.2020","192.142857142857","2020-05-11 08:00:00",NA,NA,NA
"Fallzahl","11.05.2020","192.571428571429","2020-05-12 08:00:00",NA,NA,NA
"Fallzahl","12.05.2020","193.142857142857","2020-05-13 08:00:00",NA,NA,NA
"Fallzahl","13.05.2020","193.857142857143","2020-05-14 08:00:00",NA,NA,NA
"Fallzahl","14.05.2020","194.714285714286","2020-05-15 08:00:00",NA,NA,NA
"Fallzahl","15.05.2020","195.571428571429","2020-05-16 08:00:00",NA,NA,NA
"Fallzahl","16.05.2020","196.428571428571","2020-05-17 08:00:00",NA,NA,NA
"Fallzahl","17.05.2020","197.285714285714","2020-05-18 08:00:00",NA,NA,NA
"Fallzahl","18.05.2020","198","2020-05-19 08:00:00",NA,NA,NA
"Fallzahl","19.05.2020","198.571428571429","2020-05-20 08:00:00",NA,NA,NA
"Fallzahl","20.05.2020","198.857142857143","2020-05-21 08:00:00",NA,NA,NA
"Fallzahl","21.05.2020","199","2020-05-22 08:00:00",NA,NA,NA
"Fallzahl","22.05.2020","199.285714285714","2020-05-23 08:00:00",NA,NA,NA
"Fallzahl","23.05.2020","199.714285714286","2020-05-24 08:00:00",NA,NA,NA
"Fallzahl","24.05.2020","200.142857142857","2020-05-25 08:00:00",NA,NA,NA
